SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,4,9,02,Alaska,2,2,2,40,16,16,15,17,16,24,9,17,17,17,18
040,4,9,02,Alaska,2,2,3,40,19,19,19,23,21,27,21,19,24,33,25
040,4,9,02,Alaska,2,2,4,40,6,6,5,4,6,6,7,6,5,6,6
040,4,9,02,Alaska,2,2,5,40,1,1,2,4,2,2,3,3,3,1,5
040,4,9,02,Alaska,2,2,6,40,10,10,12,17,15,16,20,17,15,20,27
040,4,8,04,Arizona,0,0,1,40,74509,74509,74465,73275,68825,66281,66944,69358,66670,68537,68942
040,4,8,04,Arizona,0,0,2,40,4160,4159,4178,4274,4215,4130,4136,4645,4498,4633,4807
040,4,8,04,Arizona,0,0,3,40,4167,4167,4220,4327,4231,4280,4317,4328,4383,4602,4603
040,4,8,04,Arizona,0,0,4,40,3538,3538,3608,3774,3932,3926,4041,4164,4151,4233,4373
040,4,8,04,Arizona,0,0,5,40,260,260,255,236,295,276,282,290,281,319,308
040,4,8,04,Arizona,0,0,6,40,1447,1447,1472,1543,1545,1599,1552,1668,1803,2047,2082
040,4,8,04,Arizona,0,1,1,40,49938,49938,50048,48962,44497,41499,41191,42229,40449,42082,42080
040,4,8,04,Arizona,0,1,2,40,3721,3720,3735,3807,3741,3621,3619,4066,3856,4031,4152
040,4,8,04,Arizona,0,1,3,40,3228,3228,3258,3303,3223,3238,3274,3241,3252,3435,3328
040,4,8,04,Arizona,0,1,4,40,3324,3324,3385,3530,3689,3687,3798,3929,3899,3930,4078
040,4,8,04,Arizona,0,1,5,40,192,192,187,171,224,218,209,216,209,213,234
040,4,8,04,Arizona,0,1,6,40,1034,1034,1050,1097,1088,1096,1098,1174,1253,1419,1429
040,4,8,04,Arizona,0,2,1,40,24571,24571,24417,24313,24328,24782,25753,27129,26221,26455,26862
040,4,8,04,Arizona,0,2,2,40,439,439,443,467,474,509,517,579,642,602,655
040,4,8,04,Arizona,0,2,3,40,939,939,962,1024,1008,1042,1043,1087,1131,1167,1275
040,4,8,04,Arizona,0,2,4,40,214,214,223,244,243,239,243,235,252,303,295
040,4,8,04,Arizona,0,2,5,40,68,68,68,65,71,58,73,74,72,106,74
040,4,8,04,Arizona,0,2,6,40,413,413,422,446,457,503,454,494,550,628,653
040,4,8,04,Arizona,1,0,1,40,37914,37915,37855,36960,34634,33408,33712,34950,33660,34462,34827
040,4,8,04,Arizona,1,0,2,40,2216,2215,2233,2289,2247,2174,2186,2503,2358,2446,2503
040,4,8,04,Arizona,1,0,3,40,2057,2057,2073,2136,2089,2125,2167,2091,2096,2321,2309
040,4,8,04,Arizona,1,0,4,40,1621,1621,1651,1713,1821,1839,1886,1973,1928,1997,2049
040,4,8,04,Arizona,1,0,5,40,157,157,152,138,161,152,171,161,152,184,175
040,4,8,04,Arizona,1,0,6,40,699,699,713,748,735,773,779,788,923,960,1009
040,4,8,04,Arizona,1,1,1,40,25756,25757,25766,25063,22694,21164,20997,21438,20586,21184,21258
040,4,8,04,Arizona,1,1,2,40,2021,2020,2038,2088,2044,1958,1974,2235,2054,2182,2213
040,4,8,04,Arizona,1,1,3,40,1554,1554,1554,1590,1574,1557,1584,1547,1533,1693,1616
040,4,8,04,Arizona,1,1,4,40,1511,1511,1537,1589,1699,1723,1774,1847,1806,1839,1918
040,4,8,04,Arizona,1,1,5,40,124,124,120,109,121,129,136,127,122,135,141
040,4,8,04,Arizona,1,1,6,40,490,490,507,550,531,531,547,554,637,659,686
040,4,8,04,Arizona,1,2,1,40,12158,12158,12089,11897,11940,12244,12715,13512,13074,13278,13569
040,4,8,04,Arizona,1,2,2,40,195,195,195,201,203,216,212,268,304,264,290
040,4,8,04,Arizona,1,2,3,40,503,503,519,546,515,568,583,544,563,628,693
040,4,8,04,Arizona,1,2,4,40,110,110,114,124,122,116,112,126,122,158,131
040,4,8,04,Arizona,1,2,5,40,33,33,32,29,40,23,35,34,30,49,34
040,4,8,04,Arizona,1,2,6,40,209,209,206,198,204,242,232,234,286,301,323
040,4,8,04,Arizona,2,0,1,40,36595,36594,36610,36315,34191,32873,33232,34408,33010,34075,34115
040,4,8,04,Arizona,2,0,2,40,1944,1944,1945,1985,1968,1956,1950,2142,2140,2187,2304
040,4,8,04,Arizona,2,0,3,40,2110,2110,2147,2191,2142,2155,2150,2237,2287,2281,2294
040,4,8,04,Arizona,2,0,4,40,1917,1917,1957,2061,2111,2087,2155,2191,2223,2236,2324
040,4,8,04,Arizona,2,0,5,40,103,103,103,98,134,124,111,129,129,135,133
040,4,8,04,Arizona,2,0,6,40,748,748,759,795,810,826,773,880,880,1087,1073
040,4,8,04,Arizona,2,1,1,40,24182,24181,24282,23899,21803,20335,20194,20791,19863,20898,20822
040,4,8,04,Arizona,2,1,2,40,1700,1700,1697,1719,1697,1663,1645,1831,1802,1849,1939
040,4,8,04,Arizona,2,1,3,40,1674,1674,1704,1713,1649,1681,1690,1694,1719,1742,1712
040,4,8,04,Arizona,2,1,4,40,1813,1813,1848,1941,1990,1964,2024,2082,2093,2091,2160
040,4,8,04,Arizona,2,1,5,40,68,68,67,62,103,89,73,89,87,78,93
040,4,8,04,Arizona,2,1,6,40,544,544,543,547,557,565,551,620,616,760,743
040,4,8,04,Arizona,2,2,1,40,12413,12413,12328,12416,12388,12538,13038,13617,13147,13177,13293
040,4,8,04,Arizona,2,2,2,40,244,244,248,266,271,293,305,311,338,338,365
040,4,8,04,Arizona,2,2,3,40,436,436,443,478,493,474,460,543,568,539,582
040,4,8,04,Arizona,2,2,4,40,104,104,109,120,121,123,131,109,130,145,164
040,4,8,04,Arizona,2,2,5,40,35,35,36,36,31,35,38,40,42,57,40
040,4,8,04,Arizona,2,2,6,40,204,204,216,248,253,261,222,260,264,327,330
040,3,7,05,Arkansas,0,0,1,40,31343,31344,31518,31551,29873,28586,27954,28625,27376,28081,28586
040,3,7,05,Arkansas,0,0,2,40,5647,5648,5649,5643,5568,5373,5354,5682,5528,5803,5748
040,3,7,05,Arkansas,0,0,3,40,390,390,386,374,350,348,371,351,332,354,415
040,3,7,05,Arkansas,0,0,4,40,641,641,656,675,683,728,725,779,775,781,740
040,3,7,05,Arkansas,0,0,5,40,79,79,81,90,94,106,129,127,150,186,181
040,3,7,05,Arkansas,0,0,6,40,438,438,440,441,441,443,429,469,454,501,543
040,3,7,05,Arkansas,0,1,1,40,29022,29023,29148,29006,27312,25952,25273,25746,24477,25237,25559
040,3,7,05,Arkansas,0,1,2,40,5555,5556,5561,5568,5493,5292,5281,5610,5442,5710,5668
040,3,7,05,Arkansas,0,1,3,40,298,298,290,266,271,261,266,248,238,265,305
040,3,7,05,Arkansas,0,1,4,40,624,624,639,654,670,711,705,747,753,758,715
040,3,7,05,Arkansas,0,1,5,40,61,61,63,65,74,90,108,112,132,155,163
040,3,7,05,Arkansas,0,1,6,40,383,383,388,395,397,394,379,411,392,409,446
040,3,7,05,Arkansas,0,2,1,40,2321,2321,2370,2545,2561,2634,2681,2879,2899,2844,3027
040,3,7,05,Arkansas,0,2,2,40,92,92,88,75,75,81,73,72,86,93,80
040,3,7,05,Arkansas,0,2,3,40,92,92,96,108,79,87,105,103,94,89,110
040,3,7,05,Arkansas,0,2,4,40,17,17,17,21,13,17,20,32,22,23,25
040,3,7,05,Arkansas,0,2,5,40,18,18,18,25,20,16,21,15,18,31,18
040,3,7,05,Arkansas,0,2,6,40,55,55,52,46,44,49,50,58,62,92,97
040,3,7,05,Arkansas,1,0,1,40,15914,15915,15950,15812,14905,14241,14108,14496,13893,14156,14446
040,3,7,05,Arkansas,1,0,2,40,2645,2645,2634,2604,2567,2502,2446,2567,2570,2611,2647
